x,y,z,geometric_likelihood
0.068971,0.258947,0.422125,0.000000
0.124241,-0.237877,0.421875,0.000000
0.248553,0.103270,0.421375,0.000000
0.234198,-0.135003,0.420625,0.000000
0.155406,0.222135,0.420125,0.000000
0.035509,-0.269154,0.419875,0.000000
0.271999,0.011876,0.419375,0.000000
0.011983,0.272764,0.418875,0.000000
0.175659,-0.209516,0.418625,0.000000
0.224697,0.157108,0.418125,0.000000
0.262482,-0.083073,0.417375,0.000000
0.105993,0.254913,0.416875,0.000000
0.094163,-0.259917,0.416625,0.000000
0.267881,0.071273,0.416125,0.000000
0.220440,-0.169911,0.415375,0.000000
0.189037,0.205290,0.414875,0.000000
0.279043,-0.025214,0.414125,0.000000
0.049643,0.276496,0.413625,0.000000
0.150362,-0.237723,0.413375,0.000000
0.250610,0.129339,0.412875,0.000000
0.256115,-0.120656,0.412125,0.000000
0.142951,0.245214,0.411625,0.000000
0.060309,-0.277729,0.411375,0.000000
0.282655,0.035888,0.410875,0.000000
0.201218,-0.203246,0.410125,0.000000
0.220610,0.183136,0.409625,0.000000
0.280606,-0.063887,0.408875,0.000000
0.088391,0.274621,0.408375,0.000000
0.120474,-0.262526,0.408125,0.000000
0.272718,0.097298,0.407625,0.000000
0.244032,-0.157800,0.406875,0.000000
0.178960,0.229853,0.406375,0.000000
0.023332,-0.290720,0.406125,0.000000
0.292342,-0.002179,0.405625,0.000000
0.027794,0.291721,0.405125,0.000000
0.176768,-0.234157,0.404875,0.000000
0.249298,0.155985,0.404375,0.000000
0.276436,-0.103296,0.403625,0.000000
0.127362,0.266963,0.403125,0.000000
0.086518,-0.283207,0.402875,0.000000
0.290351,0.061568,0.402375,0.000000
0.226292,-0.193622,0.401625,0.000000
0.213145,0.208969,0.401125,0.000000
0.296519,-0.042149,0.400375,0.000000
0.068062,0.292348,0.399875,0.000000
0.147455,-0.261834,0.399625,0.000000
0.274327,0.124273,0.399125,0.000000
0.266409,-0.142561,0.398375,0.000000
0.165666,0.253476,0.397875,0.000000
0.049117,-0.299135,0.397625,0.000000
0.302937,0.022826,0.397125,0.000000
0.003754,0.304425,0.396625,0.000000
0.203085,-0.227252,0.396375,0.000000
0.244657,0.182828,0.395875,0.000000
0.294884,-0.083183,0.395125,0.000000
0.108874,0.287085,0.394625,0.000000
0.113762,-0.285529,0.394375,0.000000
0.294995,0.088548,0.393875,0.000000
0.250534,-0.180792,0.393125,0.000000
0.202418,0.234249,0.392625,0.000000
0.008985,-0.309776,0.392375,0.000000
0.310006,-0.018168,0.391875,0.000000
0.045293,0.307854,0.391375,0.000000
0.174731,-0.257857,0.391125,0.000000
0.272693,0.151824,0.390625,0.000000
0.287264,-0.124406,0.389875,0.183021
0.149340,0.275834,0.389375,0.000000
0.076280,-0.304570,0.389125,0.000000
0.310684,0.049458,0.388625,0.000000
0.228953,-0.217103,0.387875,0.000000
0.236748,0.209502,0.387375,0.000000
0.311207,-0.060589,0.386625,0.000000
0.087733,0.305304,0.386125,0.000000
0.141674,-0.284656,0.385875,0.000000
0.296516,0.116466,0.385375,0.000000
0.273615,-0.164920,0.384625,0.185840
0.188563,0.258635,0.384125,0.000000
0.035698,-0.318380,0.383875,0.000000
0.320880,0.007741,0.383375,0.000000
0.020380,0.320923,0.382875,0.000000
0.201940,-0.250636,0.382625,0.000000
0.267824,0.179585,0.382125,0.000000
0.306313,-0.103563,0.381375,0.185986
0.130183,0.296625,0.380875,0.000000
0.104469,-0.306938,0.380625,0.000000
0.315465,0.077375,0.380125,0.185215
0.254029,-0.203823,0.379375,0.000000
0.225654,0.235657,0.378875,0.000000
0.325178,-0.035791,0.378125,0.000000
0.064196,0.321369,0.377625,0.000000
0.169895,-0.280578,0.377375,0.000000
0.294872,0.144968,0.376875,0.000000
0.295227,-0.146188,0.376125,0.197858
0.171735,0.281803,0.375625,0.000000
0.063778,-0.324077,0.375375,0.000000
0.328976,0.035262,0.374875,0.184391
0.228730,-0.240235,0.374125,0.000000
0.259752,0.207203,0.373625,0.000000
0.323296,-0.080272,0.372875,0.186442
0.108411,0.315569,0.372375,0.000000
0.133337,-0.306177,0.372125,0.000000
0.317189,0.106235,0.371625,0.190791
0.277988,-0.187549,0.370875,0.194774
0.211482,0.260956,0.370375,0.000000
0.020349,-0.335549,0.370125,0.000000
0.336593,-0.009079,0.369625,0.180899
0.038534,0.335055,0.369125,0.000000
0.198073,-0.273310,0.368875,0.000000
0.290048,0.173701,0.368375,0.000000
0.315084,-0.124796,0.367625,0.205210
0.152107,0.303451,0.367125,0.000000
0.092893,-0.326762,0.366875,0.000000
0.334162,0.064071,0.366375,0.198113
0.254766,-0.226743,0.365625,0.000000
0.248538,0.234335,0.365125,0.000000
0.337978,-0.054790,0.364375,0.188803
0.084258,0.332409,0.363875,0.000000
0.162535,-0.302257,0.363625,0.000000
0.315795,0.135696,0.363125,0.195400
0.300521,-0.168439,0.362375,0.212145
0.194363,0.285078,0.361875,0.000000
0.049287,-0.341757,0.361625,0.000000
0.345280,0.019249,0.361125,0.196951
0.011027,0.346162,0.360625,0.000000
0.225867,-0.262895,0.360375,0.000000
0.282057,0.202321,0.359875,0.181499
0.332919,-0.100966,0.359125,0.208793
0.129877,0.323296,0.358625,0.000000
0.122707,-0.326359,0.358375,0.000000
0.336332,0.093842,0.357875,0.210526
0.279724,-0.210277,0.357125,0.198595
0.234267,0.260648,0.356625,0.000000
0.003326,-0.350693,0.356375,0.000000
0.350147,-0.027386,0.355875,0.197886
0.057976,0.346911,0.355375,0.000000
0.191723,-0.295175,0.355125,0.000000
0.311252,0.165419,0.354625,0.200054
0.321339,-0.146675,0.353875,0.224384
0.174453,0.307721,0.353375,0.000000
0.079282,-0.344988,0.353125,0.000000
0.351092,0.048887,0.352625,0.216474
0.252945,-0.249405,0.351875,0.000000
0.270941,0.230492,0.351375,0.187472
0.348493,-0.074934,0.350625,0.212459
0.105259,0.341076,0.350125,0.000000
0.152884,-0.322822,0.349875,0.000000
0.335410,0.124245,0.349375,0.220433
0.303297,-0.190976,0.348625,0.221979
0.217054,0.285826,0.348125,0.180394
0.033046,-0.357618,0.347875,0.000000
0.359622,0.001657,0.347375,0.215700
0.029830,0.358870,0.346875,0.000000
0.220565,-0.284960,0.346625,0.000000
0.303556,0.195067,0.346125,0.205680
0.340176,-0.122459,0.345375,0.231815
0.151930,0.328601,0.344875,0.000000
0.110010,-0.345154,0.344625,0.000000
0.353914,0.079518,0.344125,0.234854
0.278985,-0.232940,0.343375,0.194797
0.256771,0.257886,0.342875,0.192840
0.361588,-0.046956,0.342125,0.221263
0.078489,0.356555,0.341625,0.000000
0.183091,-0.316134,0.341375,0.000000
0.331353,0.154950,0.340875,0.228347
0.325195,-0.169006,0.340125,0.239345
0.197038,0.309565,0.339625,0.183008
0.063859,-0.361589,0.339375,0.000000
0.366247,0.032042,0.338875,0.239387
0.000100,0.368106,0.338375,0.000000
0.248734,-0.271667,0.338125,0.185206
0.292737,0.224309,0.337625,0.211915
0.356786,-0.096016,0.336875,0.237969
0.126996,0.347453,0.336375,0.000000
0.141145,-0.342196,0.336125,0.000000
0.353658,0.110823,0.335625,0.249319
0.303683,-0.213624,0.334875,0.224469
0.239646,0.284188,0.334375,0.195487
0.015268,-0.371655,0.334125,0.000000
0.372015,-0.017304,0.333625,0.238765
0.049821,0.369521,0.333125,0.000000
0.212999,-0.306310,0.332875,0.000000
0.324145,0.185625,0.332375,0.235731
0.345149,-0.144557,0.331625,0.250527
0.174385,0.331581,0.331125,0.184655
0.095450,-0.362507,0.330875,0.000000
0.369898,0.063467,0.330375,0.262855
0.275911,-0.255383,0.329625,0.202551
0.278851,0.252822,0.329125,0.216591
0.370947,-0.067587,0.328375,0.247281
0.099874,0.364037,0.327875,0.000000
0.172359,-0.336087,0.327625,0.000000
0.350270,0.142479,0.327125,0.260047
0.326748,-0.191612,0.326375,0.247236
0.219694,0.309096,0.325875,0.195240
0.046822,-0.376532,0.325625,0.000000
0.379612,0.013740,0.325125,0.264201
0.019522,0.379786,0.324625,0.000000
0.242283,-0.293394,0.324375,0.185573
0.313803,0.215946,0.323875,0.242840
0.362910,-0.117841,0.323125,0.259526
0.149283,0.351607,0.322625,0.182002
0.127501,-0.360302,0.322375,0.000000
0.370477,0.095619,0.321875,0.281230
0.301792,-0.236221,0.321125,0.218962
0.261987,0.280290,0.320625,0.217167
0.382464,-0.037434,0.319875,0.263396
0.070805,0.378135,0.319375,0.000000
0.203327,-0.326829,0.319125,0.000000
0.343723,0.174162,0.318625,0.269266
0.347908,-0.167080,0.317875,0.261698
0.197066,0.332322,0.317375,0.193437
0.079212,-0.378361,0.317125,0.000000
0.384244,0.045879,0.316625,0.291706
0.270627,-0.277460,0.315875,0.207626
0.300373,0.245591,0.315375,0.247136
0.378252,-0.089088,0.314625,0.270566
0.121943,0.369399,0.314125,0.000000
0.159691,-0.354938,0.313875,0.000000
0.367921,0.128181,0.313375,0.294015
0.326085,-0.214322,0.312625,0.247113
0.242258,0.306413,0.312125,0.213122
0.028360,-0.389782,0.311875,0.000000
0.391167,-0.005831,0.311375,0.287702
0.040048,0.389555,0.310875,0.000000
0.233729,-0.314457,0.310625,0.181989
0.334024,0.205550,0.310125,0.278136
0.366910,-0.140228,0.309375,0.272651
0.171941,0.353599,0.308875,0.188934
0.112125,-0.377066,0.308625,0.000000
0.385808,0.078809,0.308125,0.314200
0.297726,-0.258611,0.307375,0.229741
0.283930,0.274247,0.306875,0.245336
0.390972,-0.058551,0.306125,0.286003
0.092598,0.384732,0.305625,0.000000
0.191697,-0.346408,0.305375,0.000000
0.362192,0.160835,0.304875,0.304485
0.348516,-0.189854,0.304125,0.264642
0.219808,0.330902,0.303625,0.206713
0.061472,-0.392664,0.303375,0.000000
0.396915,0.026933,0.302875,0.316985
0.007878,0.398130,0.302375,0.000000
0.263249,-0.299032,0.302125,0.205799
0.321207,0.236322,0.301625,0.283465
0.383524,-0.111280,0.300875,0.285601
0.144520,0.372678,0.300375,0.000000
0.145244,-0.372598,0.300125,0.000000
0.384229,0.112218,0.299625,0.329170
0.323288,-0.236978,0.298875,0.247068
0.264580,0.301612,0.298375,0.236947
0.008647,-0.401306,0.298125,0.000000
0.400896,-0.026495,0.297625,0.307453
0.061498,0.397410,0.297125,0.000000
0.223202,-0.334733,0.296875,0.000000
0.353288,0.193260,0.296375,0.315500
0.368829,-0.163006,0.295625,0.276086
0.194803,0.353487,0.295125,0.199382
0.095178,-0.392415,0.294875,0.000000
0.399594,0.060561,0.294375,0.343860
0.291583,-0.280649,0.293625,0.234266
0.305339,0.266169,0.293125,0.280125
0.397543,-0.080478,0.292375,0.302041
0.115027,0.389330,0.291875,0.000000
0.178250,-0.364941,0.291625,0.000000
0.379462,0.145791,0.291125,0.340325
0.347036,-0.212716,0.290375,0.260493
0.242454,0.327397,0.289875,0.225308
0.042394,-0.405364,0.289625,0.000000
0.407873,0.006798,0.289125,0.335113
0.028911,0.407259,0.288625,0.000000
0.253891,-0.319968,0.288375,0.199877
0.341233,0.225139,0.287875,0.323873
0.386789,-0.133992,0.287125,0.289327
0.167437,0.373913,0.286625,0.188058
0.129166,-0.388980,0.286375,0.000000
0.399122,0.094746,0.285875,0.362742
0.318436,-0.259426,0.285125,0.260917
0.286514,0.294785,0.284625,0.267308
0.408783,-0.048080,0.283875,0.321474
0.083704,0.403351,0.283375,0.000000
0.210827,-0.354107,0.283125,0.000000
0.371492,0.179211,0.282625,0.353003
0.368710,-0.186009,0.281875,0.271746
0.217711,0.351326,0.281375,0.214357
0.076816,-0.406286,0.281125,0.000000
0.411784,0.041036,0.280625,0.364799
0.283458,-0.302194,0.279875,0.231298
0.326084,0.256162,0.279375,0.321491
0.402181,-0.103047,0.278625,0.307328
0.137925,0.391948,0.278125,0.000000
0.163121,-0.382331,0.277875,0.000000
0.395445,0.129175,0.277375,0.375534
0.343529,-0.235513,0.276625,0.280459
0.264855,0.321880,0.276125,0.250023
0.022140,-0.416417,0.275875,0.000000
0.417088,-0.014362,0.275375,0.345159
0.050811,0.414562,0.274875,0.000000
0.242662,-0.340142,0.274625,0.193370
0.360337,0.212162,0.274125,0.365843
0.388070,-0.157060,0.273375,0.282804
0.190534,0.373143,0.272875,0.203038
0.111604,-0.404005,0.272625,0.000000
0.412535,0.075915,0.272125,0.389535
0.311609,-0.281524,0.271375,0.265975
0.307925,0.286023,0.270875,0.305330
0.414817,-0.070423,0.270125,0.327305
0.106500,0.407382,0.269625,0.000000
0.196728,-0.372472,0.269375,0.000000
0.388539,0.163534,0.268875,0.389416
0.366598,-0.209081,0.268125,0.291593
0.240511,0.347176,0.267625,0.234728
0.057190,-0.418617,0.267375,0.000000
0.422329,0.020389,0.266875,0.373971
0.016624,0.422810,0.266375,0.000000
0.273447,-0.323116,0.266125,0.223881
0.346042,0.244333,0.265625,0.368129
0.404896,-0.126097,0.264875,0.300487
0.161131,0.392610,0.264375,0.187241
0.146445,-0.398487,0.264125,0.000000
0.410064,0.111127,0.263625,0.407101
0.338059,-0.258095,0.262875,0.296181
0.286870,0.314428,0.262375,0.282119
0.000865,-0.425781,0.262125,0.000000
0.424533,-0.036389,0.261625,0.347849
0.073417,0.420028,0.261125,0.000000
0.229672,-0.359437,0.260875,0.188941
0.378411,0.197509,0.260375,0.406789
0.387397,-0.180328,0.259625,0.297518
0.213657,0.370412,0.259125,0.222711
0.092698,-0.417601,0.258875,0.000000
0.424406,0.055874,0.258375,0.404016
0.302886,-0.303133,0.257625,0.262923
0.328682,0.275417,0.257125,0.351792
0.418993,-0.093366,0.256375,0.322573
0.129729,0.409510,0.255875,0.000000
0.181025,-0.389725,0.255625,0.000000
0.404339,0.146361,0.255125,0.423535
0.362541,-0.232072,0.254375,0.316476
0.263059,0.341098,0.253875,0.261621
0.036450,-0.429355,0.253625,0.000000
0.431192,-0.001228,0.253125,0.372585
0.038947,0.429725,0.252625,0.000000
0.261646,-0.343290,0.252375,0.215947
0.365097,0.230788,0.251875,0.417064
0.405702,-0.149472,0.251125,0.303022
0.184492,0.391343,0.250625,0.208885
0.128353,-0.413325,0.250375,0.000000
0.423247,0.091787,0.249875,0.429851
0.330691,-0.280321,0.249125,0.302595
0.308363,0.305120,0.248625,0.323209
0.430188,-0.059129,0.247875,0.343396
0.096575,0.423649,0.247375,0.000000
0.215030,-0.377745,0.247125,0.187549
0.395356,0.181300,0.246625,0.444998
0.384805,-0.203643,0.245875,0.326739
0.236658,0.365765,0.245375,0.247730
0.072590,-0.429703,0.245125,0.000000
0.434684,0.034767,0.244625,0.404123
0.003371,0.436339,0.244125,0.000000
0.292351,-0.324124,0.243875,0.254977
0.348664,0.263063,0.243375,0.405771
0.421309,-0.116754,0.242625,0.307750
0.153237,0.409748,0.242125,0.191428
0.163840,-0.405774,0.241875,0.000000
0.418808,0.127819,0.241375,0.452731
0.356592,-0.254837,0.240625,0.334357
0.285215,0.333156,0.240125,0.296427
0.014740,-0.438455,0.239875,0.000000
0.438337,-0.023664,0.239375,0.364273
0.061934,0.434860,0.238875,0.000000
0.248152,-0.362600,0.238625,0.210696
0.383143,0.215635,0.238125,0.464759
0.404619,-0.173021,0.237375,0.332268
0.207860,0.388181,0.236875,0.235393
0.108976,-0.426770,0.236625,0.000000
0.434928,0.071292,0.236125,0.438737
0.321497,-0.302057,0.235375,0.300328
0.329206,0.294036,0.234875,0.374478
0.434040,-0.082430,0.234125,0.330980
0.120133,0.425426,0.233625,0.000000
0.198849,-0.394962,0.233375,0.188506
0.411079,0.163655,0.232875,0.479402
0.380332,-0.226861,0.232125,0.353445
0.259396,0.359254,0.231625,0.279046
0.051417,-0.440252,0.231375,0.000000
0.443322,0.012738,0.230875,0.392959
0.026083,0.442998,0.230375,0.000000
0.280089,-0.344372,0.230125,0.246488
0.367755,0.249055,0.229625,0.464206
0.421774,-0.140438,0.228875,0.337518
0.176877,0.408117,0.228375,0.218764
0.145298,-0.420532,0.228125,0.000000
0.431873,0.108038,0.227625,0.472485
0.348807,-0.277239,0.226875,0.342711
0.306847,0.323418,0.226375,0.340642
0.443740,-0.046773,0.225625,0.351668
0.085437,0.438200,0.225125,0.000000
0.233067,-0.380934,0.224875,0.209259
0.400077,0.198983,0.224375,0.508685
0.401673,-0.196598,0.223625,0.362243
0.231090,0.383161,0.223125,0.267026
0.088448,-0.438753,0.222875,0.000000
0.445052,0.049778,0.222375,0.432546
0.310549,-0.323175,0.221625,0.292676
0.349280,0.281261,0.221125,0.435710
0.436082,-0.106146,0.220375,0.339246
0.143943,0.425365,0.219875,0.201854
0.181240,-0.410995,0.219625,0.190493
0.425497,0.144693,0.219125,0.508085
0.374021,-0.249841,0.218375,0.373515
0.281735,0.350936,0.217875,0.317669
0.029319,-0.449199,0.217625,0.000000
0.450284,-0.010070,0.217125,0.376322
0.049424,0.447918,0.216625,0.000000
0.266191,-0.363764,0.216375,0.241019
0.385848,0.233494,0.215875,0.523002
0.420399,-0.164273,0.215125,0.367521
0.200503,0.404641,0.214625,0.251537
0.125520,-0.433922,0.214375,0.000000
0.443467,0.087149,0.213875,0.478394
0.339249,-0.299145,0.213125,0.341953
0.327829,0.311960,0.212625,0.395697
0.447383,-0.070412,0.211875,0.334836
0.109311,0.439740,0.211375,0.193396
0.216493,-0.398192,0.211125,0.210523
0.415808,0.180945,0.210625,0.547567
0.396896,-0.220060,0.209875,0.390022
0.254045,0.376328,0.209375,0.304109
0.066898,-0.449212,0.209125,0.000000
0.453570,0.027383,0.208625,0.415369
0.012382,0.454456,0.208125,0.000000
0.297926,-0.343552,0.207875,0.284253
0.368468,0.266884,0.207375,0.504874
0.436316,-0.130131,0.206625,0.371320
0.167862,0.423479,0.206125,0.232082
0.162320,-0.425755,0.205875,0.192729
0.438533,0.124538,0.205375,0.527352
0.365925,-0.272447,0.204625,0.384423
0.303544,0.340872,0.204125,0.364810
0.006433,-0.456501,0.203875,0.000000
