x,y,z,dose_rate_uSv_h
0.5000,0.272500,-0.122500,0.012118
0.5000,0.267500,-0.117500,0.015572
0.5000,0.272500,-0.117500,0.017984
0.5000,0.277500,-0.117500,0.015023
0.5000,0.267500,-0.112500,0.016715
0.5000,0.272500,-0.112500,0.019304
0.5000,0.277500,-0.112500,0.016126
0.5000,0.307500,-0.112500,0.011998
0.5000,0.222500,-0.107500,0.014930
0.5000,0.227500,-0.107500,0.014581
0.5000,0.272500,-0.107500,0.011900
0.5000,0.302500,-0.107500,0.016670
0.5000,0.307500,-0.107500,0.017258
0.5000,0.312500,-0.107500,0.012923
0.5000,0.222500,-0.102500,0.015533
0.5000,0.227500,-0.102500,0.015170
0.5000,0.247500,-0.102500,0.012113
0.5000,0.252500,-0.102500,0.014891
0.5000,0.257500,-0.102500,0.013918
0.5000,0.302500,-0.102500,0.017343
0.5000,0.307500,-0.102500,0.017955
0.5000,0.312500,-0.102500,0.013445
0.5000,0.242500,-0.097500,0.013523
0.5000,0.247500,-0.097500,0.028949
0.5000,0.252500,-0.097500,0.035590
0.5000,0.257500,-0.097500,0.031648
0.5000,0.262500,-0.097500,0.016162
0.5000,0.242500,-0.092500,0.018560
0.5000,0.247500,-0.092500,0.039733
0.5000,0.252500,-0.092500,0.048848
0.5000,0.257500,-0.092500,0.043438
0.5000,0.262500,-0.092500,0.022183
0.5000,0.242500,-0.087500,0.018426
0.5000,0.247500,-0.087500,0.039445
0.5000,0.252500,-0.087500,0.048494
0.5000,0.257500,-0.087500,0.043123
0.5000,0.262500,-0.087500,0.022022
0.5000,0.282500,-0.087500,0.021324
0.5000,0.287500,-0.087500,0.023500
0.5000,0.292500,-0.087500,0.018732
0.5000,0.202500,-0.082500,0.014943
0.5000,0.207500,-0.082500,0.015535
0.5000,0.247500,-0.082500,0.022489
0.5000,0.252500,-0.082500,0.027648
0.5000,0.257500,-0.082500,0.024586
0.5000,0.262500,-0.082500,0.012555
0.5000,0.277500,-0.082500,0.025342
0.5000,0.282500,-0.082500,0.048630
0.5000,0.287500,-0.082500,0.053592
0.5000,0.292500,-0.082500,0.042719
0.5000,0.297500,-0.082500,0.019555
0.5000,0.197500,-0.077500,0.013616
0.5000,0.202500,-0.077500,0.019571
0.5000,0.207500,-0.077500,0.020346
0.5000,0.212500,-0.077500,0.012148
0.5000,0.277500,-0.077500,0.033190
0.5000,0.282500,-0.077500,0.063690
0.5000,0.287500,-0.077500,0.070189
