x,y,z,dose_rate_uSv_h
0.5000,0.257500,-0.052500,0.043870
0.5000,0.262500,-0.052500,0.093654
0.5000,0.267500,-0.052500,0.114819
0.5000,0.272500,-0.052500,0.101817
0.5000,0.277500,-0.052500,0.051851
0.5000,0.282500,-0.052500,0.017331
0.5000,0.297500,-0.052500,0.013631
0.5000,0.302500,-0.052500,0.014980
0.5000,0.307500,-0.052500,0.017671
0.5000,0.312500,-0.052500,0.021223
0.5000,0.317500,-0.052500,0.030009
0.5000,0.322500,-0.052500,0.029299
0.5000,0.327500,-0.052500,0.021879
0.5000,0.352500,-0.052500,0.016596
0.5000,0.357500,-0.052500,0.015358
0.5000,-0.282500,-0.047500,0.012591
0.5000,-0.277500,-0.047500,0.014421
0.5000,-0.272500,-0.047500,0.011947
0.5000,0.217500,-0.047500,0.014600
0.5000,0.222500,-0.047500,0.016910
0.5000,0.227500,-0.047500,0.014503
0.5000,0.252500,-0.047500,0.011798
0.5000,0.257500,-0.047500,0.038375
0.5000,0.262500,-0.047500,0.081923
0.5000,0.267500,-0.047500,0.100437
0.5000,0.272500,-0.047500,0.089064
0.5000,0.277500,-0.047500,0.045357
0.5000,0.282500,-0.047500,0.015160
0.5000,0.292500,-0.047500,0.021808
0.5000,0.297500,-0.047500,0.041733
0.5000,0.302500,-0.047500,0.045863
0.5000,0.307500,-0.047500,0.038417
0.5000,0.312500,-0.047500,0.022013
0.5000,0.317500,-0.047500,0.014640
0.5000,0.347500,-0.047500,0.012262
0.5000,0.352500,-0.047500,0.019760
0.5000,0.357500,-0.047500,0.018286
0.5000,0.362500,-0.047500,0.012240
0.5000,-0.282500,-0.042500,0.015789
0.5000,-0.277500,-0.042500,0.018083
0.5000,-0.272500,-0.042500,0.014980
0.5000,0.212500,-0.042500,0.019509
0.5000,0.217500,-0.042500,0.027963
0.5000,0.222500,-0.042500,0.028991
0.5000,0.227500,-0.042500,0.017261
0.5000,0.257500,-0.042500,0.019278
0.5000,0.262500,-0.042500,0.041155
0.5000,0.267500,-0.042500,0.050455
0.5000,0.272500,-0.042500,0.044742
0.5000,0.277500,-0.042500,0.022785
0.5000,0.287500,-0.042500,0.015030
0.5000,0.292500,-0.042500,0.043822
0.5000,0.297500,-0.042500,0.083859
0.5000,0.302500,-0.042500,0.092159
0.5000,0.307500,-0.042500,0.073256
0.5000,0.312500,-0.042500,0.033441
0.5000,0.352500,-0.042500,0.017017
0.5000,0.357500,-0.042500,0.015748
0.5000,-0.282500,-0.037500,0.014320
0.5000,-0.277500,-0.037500,0.016401
0.5000,-0.272500,-0.037500,0.013586
0.5000,0.212500,-0.037500,0.022514
0.5000,0.217500,-0.037500,0.032270
0.5000,0.222500,-0.037500,0.033455
0.5000,0.227500,-0.037500,0.019919
0.5000,0.247500,-0.037500,0.012127
0.5000,0.252500,-0.037500,0.013401
0.5000,0.257500,-0.037500,0.012562
0.5000,0.262500,-0.037500,0.015777
0.5000,0.267500,-0.037500,0.016636
0.5000,0.272500,-0.037500,0.014752
0.5000,0.287500,-0.037500,0.017345
0.5000,0.292500,-0.037500,0.050570
0.5000,0.297500,-0.037500,0.096773
0.5000,0.302500,-0.037500,0.106350
0.5000,0.307500,-0.037500,0.084537
0.5000,0.312500,-0.037500,0.038591
0.5000,0.317500,-0.037500,0.011562
0.5000,0.212500,-0.032500,0.018792
0.5000,0.217500,-0.032500,0.026935
0.5000,0.222500,-0.032500,0.027924
0.5000,0.227500,-0.032500,0.016626
0.5000,0.237500,-0.032500,0.011946
0.5000,0.242500,-0.032500,0.027146
0.5000,0.247500,-0.032500,0.035428
0.5000,0.252500,-0.032500,0.033442
0.5000,0.257500,-0.032500,0.018129
0.5000,0.287500,-0.032500,0.014477
0.5000,0.292500,-0.032500,0.042211
0.5000,0.297500,-0.032500,0.080775
0.5000,0.302500,-0.032500,0.088769
0.5000,0.307500,-0.032500,0.070562
0.5000,0.312500,-0.032500,0.032211
0.5000,0.332500,-0.032500,0.018283
0.5000,0.337500,-0.032500,0.018011
0.5000,0.342500,-0.032500,0.013524
0.5000,-0.252500,-0.027500,0.012485
0.5000,-0.247500,-0.027500,0.013020
0.5000,0.217500,-0.027500,0.012911
0.5000,0.222500,-0.027500,0.013386
0.5000,0.237500,-0.027500,0.022905
0.5000,0.242500,-0.027500,0.052051
0.5000,0.247500,-0.027500,0.067929
0.5000,0.252500,-0.027500,0.064122
0.5000,0.257500,-0.027500,0.034761
0.5000,0.262500,-0.027500,0.012368
0.5000,0.292500,-0.027500,0.020234
0.5000,0.297500,-0.027500,0.038720
0.5000,0.302500,-0.027500,0.042552
0.5000,0.307500,-0.027500,0.033824
0.5000,0.312500,-0.027500,0.015441
0.5000,0.327500,-0.027500,0.020436
0.5000,0.332500,-0.027500,0.035056
0.5000,0.337500,-0.027500,0.034534
0.5000,0.342500,-0.027500,0.024606
0.5000,-0.307500,-0.022500,0.013449
0.5000,-0.302500,-0.022500,0.016654
0.5000,-0.297500,-0.022500,0.014918
0.5000,0.237500,-0.022500,0.025222
0.5000,0.242500,-0.022500,0.057315
0.5000,0.247500,-0.022500,0.074800
0.5000,0.252500,-0.022500,0.070608
0.5000,0.257500,-0.022500,0.038277
0.5000,0.262500,-0.022500,0.015578
0.5000,0.272500,-0.022500,0.012778
0.5000,0.277500,-0.022500,0.015184
0.5000,0.282500,-0.022500,0.013051
0.5000,0.297500,-0.022500,0.012182
0.5000,0.302500,-0.022500,0.013387
0.5000,0.327500,-0.022500,0.022503
0.5000,0.332500,-0.022500,0.038601
0.5000,0.337500,-0.022500,0.038027
0.5000,0.342500,-0.022500,0.027095
0.5000,-0.307500,-0.017500,0.015596
0.5000,-0.302500,-0.017500,0.019314
0.5000,-0.297500,-0.017500,0.017300
0.5000,0.237500,-0.017500,0.023199
0.5000,0.242500,-0.017500,0.046828
0.5000,0.247500,-0.017500,0.059576
0.5000,0.252500,-0.017500,0.056237
0.5000,0.257500,-0.017500,0.030486
0.5000,0.262500,-0.017500,0.016308
0.5000,0.267500,-0.017500,0.017216
0.5000,0.272500,-0.017500,0.035621
0.5000,0.277500,-0.017500,0.042328
0.5000,0.282500,-0.017500,0.036380
0.5000,0.287500,-0.017500,0.017957
0.5000,0.327500,-0.017500,0.017923
0.5000,0.332500,-0.017500,0.030745
0.5000,0.337500,-0.017500,0.030287
0.5000,0.342500,-0.017500,0.021580
0.5000,-0.307500,-0.012500,0.013082
0.5000,-0.302500,-0.012500,0.016201
0.5000,-0.297500,-0.012500,0.014511
0.5000,0.227500,-0.012500,0.014724
0.5000,0.232500,-0.012500,0.017449
0.5000,0.237500,-0.012500,0.017726
0.5000,0.242500,-0.012500,0.024114
0.5000,0.247500,-0.012500,0.027250
0.5000,0.252500,-0.012500,0.025723
0.5000,0.257500,-0.012500,0.013944
0.5000,0.262500,-0.012500,0.014953
0.5000,0.267500,-0.012500,0.031498
0.5000,0.272500,-0.012500,0.065173
0.5000,0.277500,-0.012500,0.077443
0.5000,0.282500,-0.012500,0.066561
0.5000,0.287500,-0.012500,0.032854
0.5000,0.332500,-0.012500,0.014063
0.5000,0.337500,-0.012500,0.013853
0.5000,-0.272500,-0.007500,0.013679
0.5000,-0.267500,-0.007500,0.015185
0.5000,-0.262500,-0.007500,0.012193
0.5000,0.222500,-0.007500,0.019091
0.5000,0.227500,-0.007500,0.026522
0.5000,0.232500,-0.007500,0.027447
0.5000,0.237500,-0.007500,0.018137
0.5000,0.242500,-0.007500,0.012093
0.5000,0.262500,-0.007500,0.011987
0.5000,0.267500,-0.007500,0.033096
0.5000,0.272500,-0.007500,0.068479
0.5000,0.277500,-0.007500,0.081371
0.5000,0.282500,-0.007500,0.069937
0.5000,0.287500,-0.007500,0.034520
0.5000,-0.272500,-0.002500,0.015137
0.5000,-0.267500,-0.002500,0.016804
0.5000,-0.262500,-0.002500,0.013492
0.5000,0.222500,-0.002500,0.019749
0.5000,0.227500,-0.002500,0.027435
0.5000,0.232500,-0.002500,0.027568
0.5000,0.237500,-0.002500,0.015908
0.5000,0.267500,-0.002500,0.025152
0.5000,0.272500,-0.002500,0.052043
0.5000,0.277500,-0.002500,0.061841
0.5000,0.282500,-0.002500,0.053152
0.5000,0.287500,-0.002500,0.026235
0.5000,0.307500,-0.002500,0.020461
0.5000,0.312500,-0.002500,0.021794
0.5000,0.317500,-0.002500,0.016791
0.5000,-0.272500,0.002500,0.012116
0.5000,-0.267500,0.002500,0.013449
0.5000,0.222500,0.002500,0.014776
0.5000,0.227500,0.002500,0.020527
0.5000,0.232500,0.002500,0.020627
0.5000,0.237500,0.002500,0.011903
0.5000,0.267500,0.002500,0.014413
0.5000,0.272500,0.002500,0.023899
0.5000,0.277500,0.002500,0.026991
0.5000,0.282500,0.002500,0.023198
0.5000,0.302500,0.002500,0.019259
0.5000,0.307500,0.002500,0.035721
0.5000,0.312500,0.002500,0.038049
0.5000,0.317500,0.002500,0.029314
0.5000,0.322500,0.002500,0.012970
0.5000,0.252500,0.007500,0.014564
0.5000,0.257500,0.007500,0.018422
0.5000,0.262500,0.007500,0.017852
0.5000,0.267500,0.007500,0.012001
0.5000,0.302500,0.007500,0.019310
0.5000,0.307500,0.007500,0.035814
0.5000,0.312500,0.007500,0.038148
0.5000,0.317500,0.007500,0.029391
0.5000,0.322500,0.007500,0.013004
0.5000,0.252500,0.012500,0.024644
0.5000,0.257500,0.012500,0.031173
0.5000,0.262500,0.012500,0.028520
0.5000,0.267500,0.012500,0.014985
0.5000,0.302500,0.012500,0.014003
0.5000,0.307500,0.012500,0.025972
0.5000,0.312500,0.012500,0.027665
0.5000,0.317500,0.012500,0.021314
0.5000,0.252500,0.017500,0.023948
0.5000,0.257500,0.017500,0.030292
0.5000,0.262500,0.017500,0.027715
0.5000,0.267500,0.017500,0.014562
0.5000,0.312500,0.017500,0.011521
0.5000,0.252500,0.022500,0.017254
0.5000,0.257500,0.022500,0.021292
0.5000,0.262500,0.022500,0.019480
0.5000,0.292500,0.022500,0.011738
0.5000,0.287500,0.027500,0.016716
0.5000,0.292500,0.027500,0.018953
0.5000,0.297500,0.027500,0.015544
0.5000,0.287500,0.032500,0.015500
0.5000,0.292500,0.032500,0.017575
0.5000,0.297500,0.032500,0.014413
0.5000,0.237500,0.037500,0.011998
0.5000,0.292500,0.037500,0.011787
0.5000,0.237500,0.042500,0.012575
0.5000,0.192500,0.047500,0.011929
0.5000,0.192500,0.052500,0.012117
0.5000,0.217500,0.057500,0.016595
0.5000,0.222500,0.057500,0.019538
0.5000,0.227500,0.057500,0.016638
0.5000,0.267500,0.057500,0.011802
0.5000,0.272500,0.057500,0.011885
0.5000,0.217500,0.062500,0.022238
0.5000,0.222500,0.062500,0.026182
0.5000,0.227500,0.062500,0.022296
0.5000,0.267500,0.062500,0.011620
0.5000,0.272500,0.062500,0.011701
0.5000,0.217500,0.067500,0.021556
0.5000,0.222500,0.067500,0.025378
0.5000,0.227500,0.067500,0.021612
0.5000,0.172500,0.072500,0.012265
0.5000,0.177500,0.072500,0.012211
0.5000,0.217500,0.072500,0.012568
0.5000,0.222500,0.072500,0.014127
0.5000,0.227500,0.072500,0.012030
0.5000,0.172500,0.077500,0.011754
0.5000,0.202500,0.077500,0.011598
0.5000,0.242500,0.077500,0.011704
0.5000,0.247500,0.077500,0.021847
0.5000,0.252500,0.077500,0.023419
0.5000,0.257500,0.077500,0.018159
0.5000,0.197500,0.082500,0.019972
0.5000,0.202500,0.082500,0.025030
0.5000,0.207500,0.082500,0.022690
0.5000,0.212500,0.082500,0.011812
0.5000,0.242500,0.082500,0.014734
0.5000,0.247500,0.082500,0.027503
0.5000,0.252500,0.082500,0.029482
0.5000,0.257500,0.082500,0.022860
0.5000,0.197500,0.087500,0.024752
0.5000,0.202500,0.087500,0.031022
0.5000,0.207500,0.087500,0.028121
0.5000,0.212500,0.087500,0.014640
0.5000,0.242500,0.087500,0.013416
0.5000,0.247500,0.087500,0.025043
0.5000,0.252500,0.087500,0.026846
0.5000,0.257500,0.087500,0.020815
0.5000,0.197500,0.092500,0.022189
0.5000,0.202500,0.092500,0.027809
0.5000,0.207500,0.092500,0.025209
0.5000,0.212500,0.092500,0.013124
0.5000,0.247500,0.092500,0.013722
0.5000,0.252500,0.092500,0.014038
0.5000,0.277500,0.092500,0.011916
0.5000,0.282500,0.092500,0.011630
0.5000,0.197500,0.097500,0.011956
0.5000,0.202500,0.097500,0.014317
0.5000,0.207500,0.097500,0.012978
0.5000,0.227500,0.097500,0.013938
0.5000,0.232500,0.097500,0.015905
0.5000,0.237500,0.097500,0.013974
0.5000,0.277500,0.097500,0.014314
0.5000,0.282500,0.097500,0.013971
0.5000,0.222500,0.102500,0.014221
0.5000,0.227500,0.102500,0.028257
0.5000,0.232500,0.102500,0.032245
