timestamp_s,real_time_s,live_time_s,dead_time_fraction,isotope,energy_keV,gross_counts,background_counts,net_peak_area,net_corrected,count_rate_cps,activity_MBq,sigma_activity_MBq,valid
1780148402.289,60.250,60.250,0.000000,Cs137,661.7,1638,2.6,1635.4,1635.4,27.1440,1.239723,0.030704,True
1780148402.289,60.250,60.250,0.000000,Co60_1332,1332.5,281,3.5,277.6,277.6,4.6066,0.000000,0.000000,False
1780148402.289,60.250,60.250,0.000000,Co60_1173,1173.2,389,2.7,386.3,386.3,6.4116,0.000000,0.000000,False
1780148462.537,60.250,60.250,0.000000,Cs137,661.7,3345,7.7,3337.3,3337.3,55.3906,2.529801,0.043893,True
1780148462.537,60.250,60.250,0.000000,Co60_1332,1332.5,547,4.3,542.7,542.7,9.0073,1.471723,0.063676,True
1780148462.537,60.250,60.250,0.000000,Co60_1173,1173.2,761,7.2,753.8,753.8,12.5112,1.472944,0.054159,True
